1;"In welchem Land befindet sich die Rennstrecke von ""Le Mans""? ";In Frankreich;In der Schweiz;In den Niederlanden;In Belgien;In Frankreich
2;Welches Automodell sieht aus wie die alte gelbe Karre, die Gaston Lagaffe faehrt?;Fiat 509;Citroen B10;Rolls-Royce;Jeep;Fiat 509
3;Welcher Motorsport besteht darin, mit dem Auto so schnell wie möglich zu beschleunigen?;Dragster;Driften;Trial;Monster Trucks;Dragster
4;Wie heisst das Fahrzeug der Batman Comic-Figur?;Batmobile; Batauto;Batdrive; Batcar; Batmobile
5;Wie alt ist der Duster, ein Sporttransporter, der von der rumaenischen Marke Dacia verkauft wird?;2010;2012;2008;2006;2010
6;En Frankreich,wenn sie die Vorfahrt nehmen wie viele Punkte koennen sie verlieren ?;4 Punkte;2 Punkte;6 Punktr;8 Punkte;4 Punkte
7;Welches Fürstentum beherbergt eines der renommiertesten Formel-1-Grand-Prix?;Monaco;Liechtenstein;Andorra;Montoue;Monaco
8;Welche der führenden US-Institutionen betreibt Stock-Car Rennen in den USA?;NASCAR;GOCAR;LASCAR;GASPAR;NASCAR
9;Welche Abkuerzung passt in der Automobilwelt zum Großen Tourismus?;GTi;Turbo;TT;Sport;GTi
10;"Welches Unternehmen der Belron Group"" X repariert,X taucht aus"" Ihre Windschutzscheibe?";Carglass;Norauto;Midas;Speedy;Carglass
11;"""Ein Loch in der Socke"" bedeutet, dass man…";Ein geplatzter Reifen;Eine kapute Scheibe;Ein Oelwechsel ist noetig;Ein Motor, der leckt;Ein geplatzter Reifen
12;Seit wann ist das erste feste Radarsystem in Frankreich installiert worden, von den derzeit 4.200?;27. Okt 03;27. Okt 13;27. Okt 83;27. Okt 93;27. Okt 03
13;Welche Automobilfirma, eine franzoesische Tochtergesellschaft von FIAT, ist dann dem Chrysler-Konzern beigetreten?;Simca;Packard;Hommell;Triumph;Simca
14;In welchem Jahr wurde der Audi TT Cup erstmals vermarktet?;1998;1988;2008;1978;1998
15;In welchem Land befindet sich die Rennstrecke von Silvertsone auf einer alten Luftbasis?;UK;USA;Australien;Portugal;UK
16;"Welcher Teil Ihres Autos wird manchmal ""Gebiss"" genannt?";Das Getriebe;Der Grill;Die Heitzung;Der Kofferraum;Das Getriebe
17;Welcher Autohersteller ist der Recordman bei den 24 H von Le Mans ?;Porsche;Audi;Peugeot;BMW;Porsche
18;"Welches dieser vier Verben kann mit dem Ausdruck"" den Fuß in den Leuchtturm setzen "" verbunden werden?";Beschleunigen;Bremsen;einschlagen;Hupen;Beschleunigen
19;"Was bedeutet das ""Z.E.""-Zeichen beim franzoesischen Automobilhersteller Renault?";Zero Emission;Zero Engagement;Zero Echo;Zero Espoir;Zero Emission
20;"Welche Automarke hat den Werbeslogan "" Die Freude am Fahren""?";BMW;Mercedes-Benz;Kia;Renault;BMW
21;Welches gelbe Auto faehrt Tim in Tim und Strupi  im Kongo, das zweite Album der Serie?;Ford T;Corvette;Jeep;Citroen Traction;Ford T
22;Welche heute verschwundene Automarke ist vor allem für ihre Roadster bekannt?;Triumph;DeLorean;Innocenti;Hotchkiss;Triumph
23;Welcher Automobilhersteller gruendete 1906 Firebird, GTO und Lemons?;Pontiac;AMC;Mercury;Oldsmobile;Pontiac
24;Wie viel Geld kann Ihnen in Frankreich der Missbrauch eines Signaltoennen kosten?;35 Euro;55 Euro;75 Euro;95 Euro;35 Euro
25;In welchem Auto faehrt Tim im Reiseziel Mond-Album zum Fuß der Rakete?;Ein Jeep;Ein Hummer H1;Une Rover Mini;Ein Ford T;Ein Jeep
26;Welcher franzoesische Rallye-Rennfahrer wurde 2013 Rallye-Weltmeister (WRC)?;Sebastien Ogier;Sebastien Loeb;Sebastien Bourdais;Sebastien Rousseaux;Sebastien Ogier
27;"Zu welcher Gruppe gehoert der Slogan: "" Vous ne viendrez plus chez nous par hasard "" ?";Total;Elf;Shell;Esso;Total
28;Welche Autofarbe bleibt die Comic-Figur Ric Hochet treu?;Gelb;Rot;Bleu;Gruen;Gelb
29;Welches Unternehmen war bekannt für seine Luxusfahrzeuge die  mit einem Chrysler V8 ausgestattet waren ?;Facel-Vega;Delahaye;Matra;Delage;Facel-Vega
30;Akio Toyoda ist der CEO welcher großen Automarke?;Toyota;Hyundai;Suzuki;Yamaha;Toyota
